,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_flux_mean,spectral_flux_std,zero_crossings_mean,zero_crossings_std,tempo,low_energy,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,genre
blues.00000_part_1.wav,1786.4900715746853,360.5578059160604,3770.033203125,944.5395655460494,1988.9031030432047,306.8340142230024,1.4326072,1.4159156,0.084158203125,0.028323129506987395,123.046875,0.548,-120.129555,47.64386,123.38027,15.351066,-21.135609,17.605043,43.890755,12.699411,-7.7970996,12.33164,0
blues.00000_part_2.wav,1755.8815781257192,338.285432687237,3867.06181640625,924.6793702159422,2043.8484747098648,280.31762515629663,1.3330241,1.5733818,0.07241796875,0.02037741430289611,123.046875,0.528,-128.56589,56.963127,119.96936,17.763407,-15.783504,12.399704,45.615086,14.21268,-4.720211,12.437117,0
blues.00000_part_3.wav,1805.4451611847076,425.82966210289123,3888.03515625,1014.5577001026307,2043.7988721025781,276.45670242191545,1.3553253,1.4307302,0.081716796875,0.029083653059315952,129.19921875,0.54,-100.98937,43.42805,122.14366,20.771427,-15.452888,11.826456,41.45487,11.760852,-12.296477,10.524839,0
blues.00000_part_4.wav,1837.1653716878368,366.0731291123225,3994.667578125,957.6171217253565,2064.6724306410815,278.55747590003756,1.3694082,1.4831208,0.081337890625,0.02723998342381896,123.046875,0.508,-107.21822,52.583473,122.821236,16.409445,-20.986908,14.47119,42.150227,10.968479,-10.814894,11.905791,0
blues.00000_part_5.wav,1762.3468039522782,315.5115634443687,3626.9666015625,866.0406688268763,1922.4869180272856,288.47977246551227,1.4036231,1.5095859,0.091345703125,0.028455086704860053,123.046875,0.524,-115.365814,46.033337,124.89095,15.313432,-26.419666,16.58358,44.30521,11.589053,-4.6358714,14.6427145,0
blues.00001_part_1.wav,1391.8908985629594,579.5494976579625,3187.6892578125,1717.0164492278411,2023.4280445554218,402.47149262396147,1.4610572,2.1908853,0.04341015625,0.03297465188953976,103.359375,0.508,-236.52444,105.82914,120.49458,20.038914,16.541172,23.434969,39.327076,15.236043,5.0679126,17.069408,0
blues.00001_part_2.wav,1369.691177193842,636.3713598120603,2839.92802734375,1599.049633246406,1680.069499771905,521.1201053225814,1.5221344,2.4027388,0.0678984375,0.04650258161700164,107.666015625,0.544,-212.38779,88.09068,144.56544,27.060955,-16.041794,31.618084,39.029007,17.261543,7.145483,13.316325,0
blues.00001_part_3.wav,1672.0101967480696,641.9230063193299,4039.8873046875,1630.3301956596447,2194.167642460092,395.1029882706733,1.4779012,2.0178432,0.0545625,0.03585455058437383,103.359375,0.496,-208.83028,77.0687,121.13108,20.912804,8.109809,17.462181,36.563454,17.368914,-1.6510451,14.765195,0
blues.00001_part_4.wav,1570.0345876917831,531.3875055602198,3780.2830078125,1686.6732535827516,2175.4249053203357,382.86047004840765,1.4696968,1.8958011,0.050525390625,0.025051528393685265,107.666015625,0.58,-207.8901,79.88695,121.509865,20.894308,19.257013,16.343212,37.05703,15.41357,-0.07521118,17.274141,0
blues.00001_part_5.wav,1606.9849014721397,643.3348546680686,3766.28642578125,1752.623391711144,2087.3157712612483,428.25471581542155,1.310896,1.720308,0.061318359375,0.04359074517288943,103.359375,0.516,-193.39874,85.14939,124.24383,24.446089,6.8138876,14.019825,38.14429,16.51071,-3.4695935,16.213509,0
blues.00002_part_1.wav,1529.793574533687,524.9022169509078,3022.52958984375,919.8038327173175,1739.501062626942,234.13945207171943,1.6952394,1.9764566,0.070369140625,0.05008019344920129,151.99908088235293,0.488,-106.071266,51.718018,139.6592,27.759388,-24.591629,18.606337,33.667225,12.728858,-17.090351,14.675054,0
